"id","prioridad","tipo","prospecto","dominio","url_fuente","contacto_url","autoridad_proxy","relevancia","oportunidad","pitch_recomendado","url_destino_sugerida","estado","riesgo_toxicidad","notas"
"BL-011","P2","Asociacion tech","APETIC","apetic.pe","https://apetic.pe/","https://apetic.pe/","Media","Alta","Directorio de asociados, evento o nota sobre redes, seguridad y soluciones TIC","Pitch 3","https://www.mcperu.pe/soluciones/security.html","Prospecto","Bajo","Gremio TIC local con afinidad en redes, seguridad informatica y consultoria."
"BL-012","P2","Portal tech","Channel News Peru","channelnewsperu.com","https://channelnewsperu.com/contact-us/","https://channelnewsperu.com/contact-us/","Media","Muy alta","Nota de prensa, entrevista o dossier para canal de distribucion TIC","Pitch 2","https://www.mcperu.pe/soluciones.html","Prospecto","Medio","La pagina de contacto contiene datos plantilla; validar contacto real antes de enviar."
"BL-013","P2","Portal empresarial","Business Empresarial","businessempresarial.com.pe","https://www.businessempresarial.com.pe/inicio/","https://www.businessempresarial.com.pe/contactos/","Media","Alta","Nota empresarial, caso de uso o articulo sobre tecnologia para negocios","Pitch 2","https://www.mcperu.pe/soluciones/connection.html","Prospecto","Bajo","Medio peruano con categoria Tecnologia y Economia & Negocios."
"BL-014","P2","Medio tech","Tecnologia 21 / T21","tecnologia21.com","https://tecnologia21.com/publicidad","https://tecnologia21.com/publicidad","Media-alta","Alta","Publirreportaje tipo entrevista o reseña, cobertura de evento o nota tecnica","Pitch 6","https://www.mcperu.pe/soluciones/cloud.html","Prospecto","Bajo","Indica enfoque tecnologico y audiencia con usuarios de Peru; confirmar condiciones de enlace."
"BL-015","P2","Universidad / blog empresarial","Conexion ESAN","esan.edu.pe","https://www.esan.edu.pe/directorio/conexion-esan","https://www.esan.edu.pe/directorio/conexion-esan","Alta","Media-alta","Articulo experto, colaboracion academica o cita de vocero sobre transformacion digital","Pitch 6","https://www.mcperu.pe/blog/cloud-colaboracion-productividad.html","Prospecto","Bajo","Debe ser educativo y no comercial; ideal para liderazgo de pensamiento."
"BL-016","P2","Medio sostenibilidad / empresa","Stakeholders","stakeholders.com.pe","https://stakeholders.com.pe/","https://stakeholders.com.pe/contacto/","Media-alta","Media","Articulo sobre inclusion digital, sostenibilidad operativa, continuidad y tecnologia para impacto empresarial","Pitch 6","https://www.mcperu.pe/blog/redundancia-continuidad-operativa.html","Prospecto","Bajo","Buen angulo si se vincula conectividad con productividad, sostenibilidad y regiones."
"BL-017","P2","Camara / comercio electronico","Camara de Comercio Electronico de Lima","camaracomercioelima.com","https://camaracomercioelima.com/nosotros/","https://camaracomercioelima.com/nosotros/","Media","Media-alta","Contenido sobre continuidad digital, pagos, seguridad y conectividad para comercio electronico","Pitch 3","https://www.mcperu.pe/soluciones/security.html","Prospecto","Bajo","Validar autoridad y audiencia antes de priorizar inversion."
"BL-018","P2","Partner / aliado","Cirion Technologies","ciriontechnologies.com","https://www.linkedin.com/company/ciriontechnologies","https://www.ciriontechnologies.com/","Alta","Muy alta","Co-marketing, noticia de alianza, caso conjunto o webinar sobre conectividad regional","Pitch 5","https://www.mcperu.pe/soluciones/connection.html","Validar partner","Bajo","Media Commerce Peru menciona alianza comercial con Cirion en LinkedIn; confirmar aprobacion interna."
"BL-019","P2","Partner / ciberseguridad","Sophos","sophos.com","https://www.sophos.com/en-us/partners","https://www.sophos.com/en-us/partners","Alta","Alta","Perfil partner, webinar, caso de seguridad gestionada o nota conjunta","Pitch 5","https://www.mcperu.pe/soluciones/security.html","Validar partner","Bajo","Media Commerce Peru menciona Sophos en comunicaciones; confirmar certificacion/partner status antes de publicar."
"BL-020","P2","Partner / ciberseguridad","Fortinet","fortinet.com","https://www.fortinet.com/partners","https://www.fortinet.com/partners","Alta","Alta","Perfil partner, caso de uso o contenido conjunto sobre SD-WAN y seguridad","Pitch 5","https://www.mcperu.pe/soluciones/security.html","Validar partner","Bajo","Confirmar nivel de partnership y si existe pagina de partner locator publicable."
"BL-021","P2","Partner / ciberseguridad","SonicWall","sonicwall.com","https://www.sonicwall.com/partners/tier-plus-one","https://www.sonicwall.com/partners","Alta","Alta","Perfil partner, programa de canal o contenido conjunto de firewall/seguridad","Pitch 5","https://www.mcperu.pe/soluciones/security.html","Validar partner","Bajo","Confirmar relacion comercial antes de pedir enlace."
"BL-022","P3","Medio tech / lifestyle","Enterados","enterados.pe","https://enterados.pe/contact/","https://enterados.pe/contact/","Media","Media","Nota de prensa o articulo divulgativo sobre tecnologia, seguridad digital y conectividad","Pitch 6","https://www.mcperu.pe/blog/ciberseguridad-empresas-peru.html","Prospecto","Medio","Usar solo con angulo educativo y revisar calidad editorial del dominio."
"BL-023","P3","Medio / grupo editorial","Peru21 via EcoMedia","peru21.pe","https://ecomedia.pe/productos","https://ecomedia.pe/productos","Alta","Media","Cobertura tecnologia/empresas, publirreportaje o mencion de marca","Pitch 1","https://www.mcperu.pe/soluciones.html","Prospecto","Bajo","Audiencia masiva; menor afinidad B2B que Gestion. Priorizar si hay historia de interes general."
"BL-024","P3","Medio tech historico","CIO Peru / CTO Peru","cioperu.pe","https://muckrack.com/media-outlet/cioperu","https://muckrack.com/media-outlet/cioperu","Media-alta","Alta","Verificar estado actual; si sigue activo como CTO Peru, proponer entrevista tecnica","Pitch 2","https://www.mcperu.pe/soluciones/cloud.html","Validar activo","Medio","Muck Rack indica cambio de CIO Peru a CTO Peru desde 2024; validar sitio y contacto actual."
